city,latitude,longitude,country,iso2,admin_name,capital,population,population_proper
Puri,19.8106,85.8314,India,IN,Odisha,,201026,201026
Shrīrāmpur,22.75,88.34,India,IN,West Bengal,,181842,181842
Hugli,22.9089,88.3967,India,IN,West Bengal,,179931,179931
Chandannagar,22.8671,88.3674,India,IN,West Bengal,,166867,166867
Sultānpur Mazra,28.6981,77.0689,India,IN,Delhi,,163716,163716
Krishnanagar,23.4,88.5,India,IN,West Bengal,,153062,153062
Bārākpur,22.7642,88.3776,India,IN,West Bengal,,152783,152783
Bhālswa Jahangirpur,28.7354,77.1638,India,IN,Delhi,,151427,151427
Nāngloi Jāt,28.6833,77.0667,India,IN,Delhi,,150371,150371
Yelahanka,13.1007,77.5963,India,IN,Karnātaka,,119891,119891
Titāgarh,22.74,88.37,India,IN,West Bengal,,116541,116541
Dam Dam,22.62,88.42,India,IN,West Bengal,,114786,114786
Bānsbāria,22.97,88.4,India,IN,West Bengal,,103920,103920
Madhavaram,13.1482,80.2314,India,IN,Tamil Nādu,,100442,100442
Baj Baj,22.4828,88.1818,India,IN,West Bengal,,76837,76837
Nerkunram,13.0667,80.2833,India,IN,Tamil Nādu,,52570,52570
Kendrāparha,20.5,86.42,India,IN,Odisha,,41404,41404
Sijua,23.7692,86.1673,India,IN,Jhārkhand,,39372,39372
Manali,13.1667,80.2667,India,IN,Tamil Nādu,,37748,37748
Chakapara,22.63,88.35,India,IN,West Bengal,,35282,35282
Pāppākurichchi,10.8137,78.7481,India,IN,Tamil Nādu,,26889,26889
Herohalli,12.9911,77.4873,India,IN,Karnātaka,,23851,23851
Madipakkam,12.9623,80.1986,India,IN,Tamil Nādu,,20523,20523
Sabalpur,25.6053,85.1835,India,IN,Bihār,,18810,18810
Salua,22.61,88.27,India,IN,West Bengal,,15171,15171
Balasore,21.4942,86.9317,India,IN,Odisha,,13869,13869
Jālhalli,13.0333,77.55,India,IN,Karnātaka,,13063,13063
Chinnasekkadu,13.1609,80.2573,India,IN,Tamil Nādu,,12854,12854
Jethuli,25.5378,85.2841,India,IN,Bihār,,11572,11572
Nagtala,22.3693,88.6071,India,IN,West Bengal,,10419,10419
Bāgalūr,13.1328,77.6685,India,IN,Karnātaka,,9925,9925
Pakri,25.5876,85.158,India,IN,Bihār,,9768,9768
Hunasamaranhalli,13.1435,77.62,India,IN,Karnātaka,,9741,9741
Hesarghatta,13.1391,77.4783,India,IN,Karnātaka,,9485,9485
Bommayapālaiyam,11.9922,79.8499,India,IN,Tamil Nādu,,8796,8796
Gundūr,10.7339,78.7184,India,IN,Tamil Nādu,,8587,8587
Punādih,25.5484,85.2649,India,IN,Bihār,,8273,8273
Harilādih,23.63,86.35,India,IN,Jhārkhand,,7917,7917
Alāwalpur,25.4958,85.2021,India,IN,Bihār,,7827,7827
Mādnāikanhalli,13.0626,77.4642,India,IN,Karnātaka,,7805,7805
Kādiganahalli,13.1687,77.6283,India,IN,Karnātaka,,7225,7225
Mahuli,25.543,85.2268,India,IN,Bihār,,6683,6683
Zeyādah Kot,22.321,88.2457,India,IN,West Bengal,,6457,6457
Arshakunti,13.0785,77.4225,India,IN,Karnātaka,,6262,6262
Hīrāpur,23.6834,87.1973,India,IN,West Bengal,,5910,5910
Mirchi,25.5554,85.2139,India,IN,Bihār,,5710,5710
Sonudih,25.1155,87.0214,India,IN,Bihār,,5658,5658
Sondekoppa,13,77.3667,India,IN,Karnātaka,,4866,4866
Babura,25.0851,87.1092,India,IN,Bihār,,4755,4755
Mādavar,13.0525,77.4732,India,IN,Karnātaka,,4678,4678
Kadabgeri,12.9965,77.4331,India,IN,Karnātaka,,4573,4573
Nanmangalam,12.9381,80.1753,India,IN,Tamil Nādu,,4386,4386
Taliganja,22.5876,88.4439,India,IN,West Bengal,,4278,4278
Tarchha,25.1116,87.0964,India,IN,Bihār,,4198,4198
Belgharia,22.5692,88.4846,India,IN,West Bengal,,4193,4193
Kammanhalli,13.0155,77.6381,India,IN,Karnātaka,,4144,4144
Sonnappanhalli,13.1557,77.6179,India,IN,Karnātaka,,3996,3996
Kedihāti,22.6543,88.5304,India,IN,West Bengal,,3910,3910
Doddajīvanhalli,13.0086,77.6143,India,IN,Karnātaka,,3792,3792
Simli Murārpur,25.5792,85.2401,India,IN,Bihār,,3739,3739
Sonāwān,25.5445,85.2387,India,IN,Bihār,,3682,3682
Devanandapur,22.9378,88.3698,India,IN,West Bengal,,3449,3449
Tribeni,23.0269,88.4565,India,IN,West Bengal,,3305,3305
Huttanhalli,13.1651,77.6512,India,IN,Karnātaka,,3240,3240
Nathupur,25.5163,85.2544,India,IN,Bihār,,3129,3129
Bāli,25.481,85.2227,India,IN,Bihār,,3128,3128
Vājarhalli,13.1022,77.4111,India,IN,Karnātaka,,3009,3009
Saino,25.1134,87.0108,India,IN,Bihār,,2987,2987
Shekhpura,25.5725,85.1428,India,IN,Bihār,,2950,2950
Cāchohalli,13.001,77.4717,India,IN,Karnātaka,,2946,2946
Nārāyanpur Kola,25.1293,87.0076,India,IN,Bihār,,2919,2919
Gyan Chak,25.5496,85.2423,India,IN,Bihār,,2855,2855
Kasgatpur,13.1101,77.5045,India,IN,Karnātaka,,2852,2852
Kitanelli,13.0095,77.4191,India,IN,Karnātaka,,2827,2827
Harchandi,25.1,87.0442,India,IN,Bihār,,2827,2827
Santoshpur,22.465,88.2193,India,IN,West Bengal,,2808,2808
Bendravādi,12.3636,76.9137,India,IN,Karnātaka,,2684,2684
Kodagihalli,12.9771,77.4651,India,IN,Karnātaka,,2585,2585
Harna Buzurg,25.0981,87.0148,India,IN,Bihār,,2579,2579
Mailanhalli,13.1863,77.6963,India,IN,Karnātaka,,2543,2543
Sultānpur,25.5248,85.2507,India,IN,Bihār,,2473,2473
